timetweet,isitweet,favcount,retwcount,id,name
2022-11-29 11:30:12,b'AYO BERGABUNG BERSAMA @IdrSloto \nDAN DAPATKAN BONUS DEMAM PIALA DUNIA\nPLUS TAMBAH BONUS CASHBACK 5%\n\nLINK DAFTAR :  https://t.co/pYYDuA976L\n\nAyo Bergabung Bersama Kami di Situs Slot Gacor @IdrSloto  Hanya Dengan Modal 50.000\nDapatkan bonus new member Slot 50% UP hingga 500.000. https://t.co/Ys5Gn5jGf8',0,0,1597553511457488897,Bellaan18520189
2022-11-29 11:30:08,b'Serba Serbi Piala Dunia Qatar : Tidak Ada Tempat Untuk Israel https://t.co/AXvCzeOuaY',0,0,1597553495036596227,idaylummm
2022-11-29 11:30:04,"b'@agok_habang @IrSuwaji3 @VIVAcoid Bang, juara piala dunia 2022 feeling abang siapa yg juara? Gua mau pasang tarohan nih sama temen2 gua bang'",0,0,1597553477684977664,KingCabbage12
2022-11-29 11:30:04,"b""RT @biacho6688992: Ada Spanduk 'Anies Baswedan For Presiden' di Piala Dunia 2022 Qatar | PORTAL ISLAM https://t.co/BSN230DkCq https://t.co/\xe2\x80\xa6""",0,93,1597553475034165249,IbnuSholh
2022-11-29 11:30:00,b'[Video] Piala Dunia 2022: Mengintip Cara Bersedekah di Qatar yang Dipermudah Banget! #EMTEKWORLDCUP2022 #BOLANETWORLDCUP2022 #PialaDunia #PialaDunia2022 https://t.co/8hNSXtH2LS',0,0,1597553460987281409,Bolanet
2022-11-29 11:30:00,b'Piala Dunia 2022 mungkin akan digunakan Qatar sebagai batu pijakan untuk berbenah dan membuat timnas sepak bolanya bisa berlaga di ajang serupa lain. #Infinite\nhttps://t.co/dIiwB8TVXQ',1,0,1597553459665858560,kompasiana
2022-11-29 11:29:55,"b'RT @detiksport: Dukungan untuk Palestina menguat sepanjang Piala Dunia 2022 Qatar. Sebaliknya, Israel diboikot di mana-mana, termasuk oleh\xe2\x80\xa6'",0,1,1597553437578649600,geletea
2022-11-29 11:29:51,b'@euijoob Boleh bgt sini kak\n\nVidio Premier\n\xe2\x80\xa2 Sharing 1 bulan 20k\n\xe2\x80\xa2 Private 1 bulan 40k\n\nVidio Premier (bisa nonton EPL)\n\xe2\x80\xa2 Sharing 1 bulan  50k\n\xe2\x80\xa2 Private 1 bulan 90k\n\nVidio Premier (bisa nonton piala dunia)\n\xe2\x80\xa2 Private 100k',0,0,1597553421489692673,wuhyunjin
2022-11-29 11:29:50,"b'@fmaditomo Lah kan ini Konteksnya bahas Tim Afrika yang main di Piala Dunia.\n\nDan kalaupun pernyataan saya dibawa secara Umum, tim2 unggulan afrika msh lebih banyak yg main grasak grusuk.'",0,0,1597553417836466177,tim_tamtam
2022-11-29 11:29:31,"b'RT @Ben3atha: Sebuah keluarga Brazil masuk Islam setelah melihat orang\xc2\xb2 Shalat, baca Al-Quran, dan perilaku baik umat Islam.\n\nKeluarga ini\xe2\x80\xa6'",0,36,1597553339000328192,yazidhandup
2022-11-29 11:29:10,"b'@neohistoria_id Sudah ketahuan pemegang piala dunia,, Portugal tentu saja :v wkwkwkw'",0,0,1597553248931807235,muhshosyakhu
2022-11-29 11:29:01,"b'Di saat orang nonton piala dunia, aku tidak. Pialaku adalah kenangan dan duniaku adalah kau seorang.'",0,0,1597553213628379136,EkoPoceratu
2022-11-29 11:28:48,"b'Biasane jam semene ndelok piala dunia, iki maeng gak onok. Aneh rasane'",0,0,1597553157575696386,firmaannnnnnn
2022-11-29 11:28:40,"b'RT @indosatim3: Nikmati promo murah mantap dari IM3 di Bukalapak, yuk! \xf0\x9f\xa4\xa9\n\nAda DISKON hingga 45% tiap beli Kartu Perdana + Paket Data IM3, i\xe2\x80\xa6'",0,10,1597553122200948736,adji_mahadewa
2022-11-29 11:28:27,"b'Jelang laga Jepang vs Spanyol di Piala Dunia Qatar 2022, Hajime Moriyasu ingatkan ini kepada anak asuhnya - Jakarta Insider https://t.co/ymqrhY04Xa'",0,0,1597553068002140161,KasanMulyono
2022-11-29 11:28:19,b'Masih ada kecil kemungkinan andai Portugal bertemu Brasil di 16 besar Piala Dunia 2022. Fernando Santos menyebutnya akan jadi laga super big match! https://t.co/0rHwrG5wRR',3,0,1597553036871798784,detikcom
2022-11-29 11:28:00,b'READY VIDIO PIALA DUNIA\n3 bulan all device\nsharing 2u : 53k\nprivate : 95k\nakun ready tinggal copas lalu pake. private bisa req email no fee. bisa dm @klitteu or wa https://t.co/j5fYZb9S4K yak\n\nt. fifa world cup #zonaba #zonauang #zonajajan https://t.co/ORQk6rY6sy',0,0,1597552956043595778,128O8
2022-11-29 11:27:47,"b'RT @detikcom: Dukungan untuk Palestina menguat sepanjang Piala Dunia 2022 Qatar. Sebaliknya, Israel diboikot di mana-mana, termasuk oleh su\xe2\x80\xa6'",0,2,1597552899587862528,diva_acm
2022-11-29 11:27:41,b'RT @Bisniscom: Messi Cs Bawa 900 Kilogram Daging ke Piala Dunia 2022\nhttps://t.co/HdcW1LrENl',0,1,1597552874921549824,Emm_aaa2108
2022-11-29 11:27:40,b'Benzema menderita cedera pada paha kirinya. https://t.co/QU7bKHTHXE',0,0,1597552873998458880,republikaonline
2022-11-29 11:27:40,b'@theuncertaintyy @DestaH14 @astronoudt @idextratime Tahun ini total 8 stadion. Piala dunia pertama 1930 pake 3 stadion.',0,0,1597552870307827712,IqbalQuosophy
2022-11-29 11:27:36,b'RT @pie_pumpkinpies: \xc2\xb0 Jersey bola piala dunia Qatar 2022 \xc2\xb0 \n\na thread https://t.co/pascMMsENP',0,14,1597552853773475840,reilieve
2022-11-29 11:27:05,b'Messi Cs Bawa 900 Kilogram Daging ke Piala Dunia 2022\nhttps://t.co/HdcW1LrENl',0,1,1597552725327155200,Bisniscom
